140,Hysaj,Hysaj Elseid,D,Dd;Ds;E,6,6,7,7,Napoli,0,0,destro,Albania,20/02/1994 00:00:00,https://content.fantacalcio.it/web/campioncini/card/HYSAJ.jpg,0,6.0,6.0
141,Laurini,Laurini Vincent,D,Dd;E,4,4,4,4,Parma,0,0,destro,Francia;Italia,10/06/1989 00:00:00,https://content.fantacalcio.it/web/campioncini/card/LAURINI.jpg,0,0.0,0.0
142,Mario Rui,Mario Rui Duarte,D,Ds;E,8,8,8,8,Napoli,0,0,sinistro,Portogallo,27/05/1991 00:00:00,https://content.fantacalcio.it/web/campioncini/card/MARIO-RUI.jpg,0,0.0,0.0
144,Tonelli,Tonelli Lorenzo,D,Dc,6,6,6,6,Sampdoria,0,0,destro,Italia,17/01/1990 00:00:00,https://content.fantacalcio.it/web/campioncini/card/TONELLI.jpg,0,5.0,4.5
148,Krunic,Krunic Rade,C,C;T,5,5,5,5,Milan,0,0,destro,Bosnia Erzegovina,07/10/1993 00:00:00,https://content.fantacalcio.it/web/campioncini/card/KRUNIC.jpg,0,0.0,0.0
150,Saponara,Saponara Riccardo,C,T,7,7,7,7,Fiorentina,0,0,destro,Italia,21/12/1991 00:00:00,https://content.fantacalcio.it/web/campioncini/card/SAPONARA.jpg,0,0.0,0.0
152,Zielinski,Zielinski Piotr,C,C;T,12,12,12,12,Napoli,0,0,destro,Polonia,20/05/1994 00:00:00,https://content.fantacalcio.it/web/campioncini/card/ZIELINSKI.jpg,0,6.25,8.25
159,Sepe,Sepe Luigi,P,Por,9,9,9,9,Parma,0,0,sinistro,Italia,08/05/1991 00:00:00,https://content.fantacalcio.it/web/campioncini/card/SEPE.jpg,0,5.5,3.5
160,Tatarusanu,Tatarusanu Ciprian,P,Por,1,1,1,1,Milan,0,0,destro,Romania,09/02/1986 00:00:00,https://content.fantacalcio.it/web/campioncini/card/TATARUSANU.jpg,0,0.0,0.0
170,Badelj,Badelj Milan,C,M;C,3,4,3,4,Genoa,0,0,destro,Croazia,25/02/1989 00:00:00,https://content.fantacalcio.it/web/campioncini/card/BADELJ.jpg,0,6.0,6.0
